f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,covid
-551.9997,50.1118,-17.898342,-1.0665306,-13.36098,2.7590475,-10.197988,-1.3332891,-6.529424,0.84269536,0.6532806,-6.95658,-3.191317,-2.852686,3.6928215,-8.4769,-3.600959,0.11676255,-1.1659869,-3.4490168,-2.5488458,1.3039036,-2.628993,0.033494644,-4.2179275,-3.3077962,-2.0450144,-1.4313858,-0.90462697,-0.25288334,1.738431,0.0033359665,-1.5501034,-2.751967,-0.35738742,-0.31816036,-0.1867103,-1.3126495,-1.3643852,-1.403252,1
-407.45746,53.970757,6.846855,4.682836,-20.684381,18.703823,5.2083435,-8.606543,-9.656084,-16.239277,-3.570792,-4.4111934,-4.615809,-7.8312345,-8.383242,-2.6940572,-4.0648265,-5.3744836,-2.3928154,-6.0893097,-4.8091917,-2.3364663,-5.2395806,-1.6272331,-4.3305764,-4.286928,-1.7806091,-1.3567958,1.172937,-1.3393849,-2.1888397,0.098213494,0.8582849,1.5589445,2.2035205,-1.1862019,-0.036646802,1.955277,-1.1760753,1.3084368,1
-715.0408,112.55676,-4.9415765,40.089188,-11.737171,18.112038,-6.1500373,-20.350525,8.109591,-21.349709,-7.048508,-5.667559,-17.593771,-4.6971254,-11.899316,-11.463547,-5.1892395,-9.205789,-6.787139,-6.1449018,-8.55423,-4.637526,-5.652311,-6.8893957,-6.2289834,-5.0309963,-1.6834611,-4.137617,-2.84245,-2.4948044,-3.2245162,-1.0555991,-4.359284,-3.4055126,-1.9760371,-3.7530055,-2.134936,-2.0425165,-3.1064641,-1.6461197,1
-385.1559,92.38019,-20.376118,26.579958,-7.189676,-10.281976,-5.2933326,-25.840366,-24.970718,-0.41829872,-3.6138923,-9.773513,-1.1351693,-11.597329,-1.0424839,-5.653754,-15.449304,-9.760067,-11.0129385,-7.074625,-8.088428,-5.9559994,-7.552072,-3.497041,-2.3027344,-9.350275,-1.1947616,-1.473379,-5.60319,-0.9038781,0.3333716,-4.593392,-3.0624442,1.8172672,-0.6025531,-0.8329908,1.0915763,1.4583466,-0.64422715,0.16766597,1
-435.42242,62.855545,4.644002,-3.2285926,-13.218501,21.175344,-27.333681,-6.0476956,-12.253852,-18.127005,-3.8074856,-7.9857407,-5.642202,-15.650982,-1.2076082,-1.4092836,-7.8400373,-5.3542066,3.3846626,-2.8459206,-7.348216,2.9804733,-5.8625064,-1.4516242,-3.6975133,-1.2071452,-1.1020312,-6.046513,-1.0622343,-1.8674635,-3.8650396,-6.13345,-1.7393152,-2.1370137,-4.220163,-0.6759325,-2.659495,-1.8754491,0.22443633,2.3114245,1
-439.7102,69.860596,-8.995832,13.866982,-21.022228,-4.01187,-19.333431,-6.0449085,-10.640534,-8.819271,-3.1949177,-6.3219333,1.4048594,-8.448142,-3.4433029,-5.582493,-3.2617497,-3.622554,-3.1214266,-4.483325,-5.2031674,-2.9924545,-7.107945,-2.1063228,-5.064337,-3.764964,-2.612456,-2.74469,-1.785089,-2.4094837,-1.8453904,-3.029407,-1.0326514,-2.3700583,-2.0101306,-2.0097537,-2.3905165,-1.0783651,-0.40282005,0.43730187,1
-427.90335,75.33641,-15.313685,-15.862761,-12.721509,-1.882547,-11.188922,-8.055454,-8.81868,-6.160522,-2.401359,-1.8974419,3.4160068,-5.005594,-5.4565296,-6.4994574,-3.8845847,-2.1172307,-5.7557607,-3.512441,-6.296676,-7.4914126,-6.69803,-5.561137,-2.5054162,-0.18735105,-0.58189166,-0.88779855,0.45135176,1.5456822,0.82768273,-0.480865,-1.3620769,-1.8873341,1.3891742,0.46543118,-0.36856142,0.9063096,0.62292063,1.3419956,1
-305.1343,88.259766,-42.08333,1.5051339,-18.2318,16.865461,-28.654253,-15.188133,-28.786272,-9.213877,0.80035937,-15.628105,-7.507227,-10.421706,-1.3143405,-3.828236,-0.56832683,-9.24024,-9.729718,-10.769737,-8.453652,-10.141359,-3.4825459,3.2334795,-5.3676853,3.6621597,6.755458,-1.626592,0.059172433,6.1638026,-0.13354018,1.5338359,-1.6819887,-1.1949917,2.8709645,-3.199257,-3.2144828,1.0819622,0.39654616,-2.6512978,1
-338.42603,85.58838,-21.102884,8.829688,-3.2324908,21.524433,-37.320343,-21.29969,-17.686693,-10.898137,10.366042,-1.0324512,-0.2780253,-14.094362,-4.45495,-5.74866,-4.8547254,-4.938263,-8.564529,-1.856731,-8.870811,-12.100574,-4.4643464,-5.27434,-3.9129364,1.3245407,-5.001556,-0.41180497,-1.4318835,-1.7918595,1.4994787,-0.2570968,-1.8262693,-2.5795405,2.6353016,-1.6172587,-1.0815637,-0.34272122,-0.49843976,2.189046,1
-390.29785,63.001343,-18.987514,17.580002,-10.906658,2.0885587,-18.560146,-6.573833,-13.853415,0.6387973,4.8609624,-12.97614,-0.2939614,-9.124547,1.5719521,-4.2530694,-8.240955,-5.1874833,-6.0624294,-5.204203,-8.431386,-1.2580365,-5.036384,-3.1193924,-1.1007444,-3.442599,-2.1728919,0.47388625,-0.048578568,0.76689,1.0766165,-2.2149146,-0.4967721,-2.154139,-0.24099436,-1.9519496,-1.024921,-0.048985984,-2.114785,1.1357445,1
